Date,Region,Crop,Price per kg,Rainfall (mm),Temperature (°C),Fertilizer Cost (PHP/kg),Fuel Price (PHP/liter),Pest Outbreak,Market Demand (1-10)
2024-03-13,Central Visayas,Coffee,46.8,246.1,32.8,59.14,51.01,No,10
2025-03-16,Cagayan Valley,Coconut,82.13,275.0,31.0,45.97,66.74,No,4
2025-01-21,Bicol Region,Coffee,30.04,299.4,27.6,46.8,40.97,No,6
2024-11-11,CALABARZON,Mango,77.74,197.0,33.9,34.79,61.27,No,4
2024-03-19,Northern Mindanao,Coffee,61.26,238.1,33.8,43.17,53.07,No,4
2025-03-10,Zamboanga Peninsula,Onion,79.95,104.6,27.2,35.15,61.36,Yes,6
2023-07-03,Central Luzon,Corn,58.89,261.3,27.0,47.46,44.13,Yes,10
2025-02-20,Eastern Visayas,Tomato,60.82,162.0,26.5,33.35,60.97,Yes,2
2024-06-18,Western Visayas,Coffee,71.57,166.9,26.3,48.85,42.07,No,4
2023-12-21,Central Luzon,Tomato,78.81,56.9,31.0,55.77,49.7,Yes,7
2025-04-19,Western Visayas,Coffee,31.56,165.8,34.6,38.42,73.03,No,8
2023-06-15,Northern Mindanao,Coconut,88.96,254.8,26.4,45.58,53.79,No,9
2023-07-13,Central Visayas,Sugarcane,58.61,63.8,28.1,34.28,45.45,No,1
2024-09-11,Bicol Region,Garlic,95.51,168.4,27.3,38.58,63.23,Yes,8
2024-02-10,Cagayan Valley,Tomato,78.33,169.7,27.0,42.11,66.24,No,4
2023-12-07,Cagayan Valley,Corn,95.35,276.6,30.7,30.38,59.2,Yes,3
2025-04-14,SOCCSKSARGEN,Corn,80.5,206.5,28.4,55.37,69.48,Yes,10
2024-08-05,Northern Mindanao,Onion,98.44,71.4,30.7,51.06,69.75,No,7
2023-12-14,Bicol Region,Coconut,70.43,119.9,29.7,33.08,62.02,No,6
2024-10-21,SOCCSKSARGEN,Rice,90.95,141.5,27.6,55.58,74.94,No,5
2023-11-20,SOCCSKSARGEN,Pineapple,68.64,54.4,30.9,45.61,41.55,No,7
2023-09-29,Zamboanga Peninsula,Onion,36.34,248.9,33.4,49.54,71.7,No,7
2024-06-18,Bicol Region,Sugarcane,92.85,98.2,26.7,51.79,45.27,No,1
2024-03-28,Davao Region,Banana,60.98,192.7,29.2,57.38,54.3,No,3
2024-03-02,Central Luzon,Tobacco,93.64,239.4,29.4,55.27,42.0,No,7
2024-07-23,Davao Region,Mango,58.03,290.8,34.9,54.17,70.65,Yes,3
2023-12-04,Ilocos Region,Coconut,77.67,283.0,30.0,38.75,41.72,No,10
2024-06-09,Bicol Region,Rice,42.4,185.4,26.5,34.44,44.51,No,9
2025-04-18,Ilocos Region,Garlic,96.58,168.4,29.6,59.32,44.66,No,2
2023-07-05,Zamboanga Peninsula,Coconut,73.38,170.5,27.9,56.52,49.91,Yes,2
2024-04-19,Cagayan Valley,Tomato,77.24,248.0,27.3,38.3,46.34,Yes,3
2023-09-19,Central Luzon,Tobacco,41.72,294.9,35.5,41.11,40.71,Yes,10
2024-10-04,Cagayan Valley,Banana,47.17,248.9,26.7,42.97,46.7,Yes,7
2023-08-11,Bicol Region,Mango,98.02,206.9,26.9,53.4,60.4,No,2
2023-09-16,Cagayan Valley,Garlic,85.38,125.8,31.7,58.29,64.27,Yes,10
2024-08-05,Zamboanga Peninsula,Banana,38.82,286.8,35.3,38.39,73.71,Yes,1
2024-11-26,Cagayan Valley,Sugarcane,34.02,128.8,32.3,42.7,61.09,Yes,2
2025-02-12,Ilocos Region,Sugarcane,73.75,207.9,31.6,35.41,69.83,No,8
2023-12-23,Zamboanga Peninsula,Rice,73.42,283.6,31.9,55.56,74.65,Yes,3
2025-05-05,CALABARZON,Coffee,37.29,293.9,26.4,50.24,53.97,Yes,8
2024-07-17,Northern Mindanao,Sugarcane,65.64,295.3,34.9,58.41,41.55,Yes,8
2024-01-19,Davao Region,Rice,70.27,200.3,32.5,37.18,41.4,No,2
2024-04-18,Bicol Region,Pineapple,46.59,159.0,35.0,55.41,49.09,Yes,2
2024-09-01,Central Visayas,Tomato,81.44,71.3,32.1,49.49,48.44,No,8
2024-06-01,Bicol Region,Onion,51.89,272.4,31.1,50.47,55.94,Yes,5
2023-08-20,Davao Region,Banana,98.94,135.9,30.2,59.17,60.26,No,1
2024-04-17,CALABARZON,Coconut,64.62,131.9,35.2,41.95,59.27,Yes,2
2024-09-19,SOCCSKSARGEN,Corn,49.16,75.8,35.3,56.07,57.5,No,1
2024-10-08,Cagayan Valley,Coconut,64.16,50.3,28.3,53.64,65.34,Yes,2
2024-06-29,SOCCSKSARGEN,Coconut,66.1,100.2,31.6,40.11,56.69,Yes,10
2023-11-29,Zamboanga Peninsula,Sugarcane,58.12,262.5,28.9,53.24,46.97,Yes,2
2025-01-11,Cagayan Valley,Sugarcane,40.04,272.0,28.3,35.46,44.48,No,4
2025-03-20,Bicol Region,Coconut,31.91,229.1,31.3,31.62,60.63,No,1
2024-01-17,Western Visayas,Coconut,31.71,213.4,33.4,50.48,58.42,No,2
2025-03-25,Bicol Region,Mango,30.97,209.0,26.8,46.03,40.53,No,10
2024-01-12,Zamboanga Peninsula,Tomato,33.54,141.4,34.0,57.83,72.38,No,1
2024-05-06,Central Luzon,Corn,43.13,263.9,31.7,34.88,45.45,No,2
2024-06-24,Northern Mindanao,Mango,51.01,248.9,28.5,38.71,72.97,No,9
2024-02-25,Zamboanga Peninsula,Onion,87.59,88.2,30.0,42.36,44.76,No,6
2023-12-17,Central Visayas,Mango,48.92,159.5,34.2,42.34,52.16,No,2
2023-11-29,Northern Mindanao,Tomato,75.74,58.8,28.9,38.13,68.58,Yes,3
2024-10-19,CALABARZON,Mango,95.76,74.4,26.4,41.82,52.9,Yes,3
2025-01-02,Bicol Region,Rice,46.65,189.2,31.4,36.26,58.64,No,1
2025-01-22,Eastern Visayas,Tobacco,74.0,86.4,29.3,59.94,53.58,No,5
2024-09-10,Bicol Region,Garlic,49.64,276.0,32.3,48.64,62.71,No,7
2023-11-01,Davao Region,Pineapple,82.59,54.3,34.1,57.49,45.45,Yes,9
2023-08-01,CALABARZON,Corn,41.45,201.5,31.7,55.89,47.22,No,8
2024-09-19,Bicol Region,Onion,55.86,206.2,27.2,48.94,47.66,No,9
2023-05-15,Ilocos Region,Garlic,33.12,235.2,35.4,35.77,50.97,No,9
2025-04-15,Eastern Visayas,Mango,62.73,53.4,27.1,42.83,57.2,Yes,8
2023-06-30,Central Luzon,Coffee,85.69,137.0,26.2,35.69,43.79,No,7
2025-01-01,Ilocos Region,Onion,78.62,273.6,36.0,52.26,47.45,Yes,3
2024-01-06,Zamboanga Peninsula,Pineapple,40.86,145.9,32.3,33.63,65.73,No,2
2023-09-27,Central Luzon,Onion,32.29,81.4,26.3,41.4,74.55,Yes,10
2025-01-19,Western Visayas,Pineapple,49.28,278.0,27.4,54.72,58.9,Yes,3
2024-05-15,Bicol Region,Corn,51.97,143.0,34.8,58.06,60.91,No,8
2023-06-10,CALABARZON,Corn,74.41,111.1,28.4,39.67,67.7,No,10
2024-07-23,Bicol Region,Rice,42.4,161.0,28.9,47.33,47.93,No,4
2023-10-21,Bicol Region,Garlic,41.55,163.0,31.2,42.71,63.56,Yes,10
2023-09-25,Bicol Region,Sugarcane,59.14,142.3,26.7,37.67,40.79,Yes,4
2024-12-28,SOCCSKSARGEN,Tobacco,99.39,297.3,35.1,37.9,48.96,Yes,8
2023-06-11,Central Visayas,Corn,58.58,115.1,28.3,48.14,45.01,Yes,7
2023-05-10,Central Luzon,Coffee,96.12,82.2,30.0,43.88,56.54,No,10
2024-09-16,Ilocos Region,Banana,98.55,171.9,29.4,44.94,50.77,No,5
2024-03-09,Central Visayas,Banana,43.9,248.1,29.8,50.22,52.91,No,2
2025-02-18,Eastern Visayas,Coffee,75.27,222.0,29.2,34.75,63.67,Yes,10
2025-05-07,Zamboanga Peninsula,Coffee,91.14,126.7,27.4,57.15,40.83,Yes,10
2025-04-11,Western Visayas,Onion,92.03,189.0,30.2,57.79,55.37,Yes,6
2023-07-31,SOCCSKSARGEN,Garlic,87.64,160.3,31.3,31.26,59.38,No,2
2024-05-13,Eastern Visayas,Tomato,96.76,94.0,27.0,42.07,40.84,Yes,9
2024-06-28,Northern Mindanao,Mango,93.06,99.6,35.3,30.14,73.36,No,10
2023-09-02,Ilocos Region,Tobacco,72.78,132.5,30.1,56.1,51.0,No,10
2024-02-08,Ilocos Region,Onion,81.88,297.7,27.8,59.1,45.86,No,9
2023-07-22,Central Visayas,Rice,57.66,237.4,30.2,49.25,49.44,Yes,6
2024-05-24,Bicol Region,Garlic,77.42,286.2,28.5,54.56,49.53,Yes,9
2023-10-19,Western Visayas,Banana,42.85,255.1,33.8,31.94,74.32,Yes,3
2025-01-08,Ilocos Region,Tomato,60.36,243.9,26.8,47.04,57.7,No,7
2024-12-15,Cagayan Valley,Corn,63.62,182.1,26.6,48.94,45.12,Yes,5
2024-12-05,Western Visayas,Tobacco,59.79,90.0,32.7,59.91,62.68,No,6
2025-05-07,SOCCSKSARGEN,Sugarcane,84.37,94.2,32.4,50.64,46.51,Yes,9
2023-07-12,Bicol Region,Banana,71.63,272.8,32.1,48.25,69.49,No,10
2024-01-25,Northern Mindanao,Banana,47.73,298.2,34.1,39.33,41.99,No,7
2024-05-02,Zamboanga Peninsula,Rice,60.93,194.9,26.8,45.88,44.91,Yes,9
2023-06-04,Ilocos Region,Sugarcane,46.8,177.4,28.9,54.28,69.45,No,6
2024-03-17,Cagayan Valley,Tobacco,71.94,170.7,31.9,50.3,67.85,No,3
2024-03-22,Bicol Region,Mango,94.53,124.0,30.2,39.22,50.13,No,3
2023-11-09,CALABARZON,Sugarcane,41.17,238.2,31.5,33.93,61.39,No,2
2025-03-28,Cagayan Valley,Onion,31.35,174.4,34.6,38.76,68.1,Yes,10
2023-09-09,Central Visayas,Mango,72.96,116.2,31.9,34.31,47.09,No,4
2025-04-07,Eastern Visayas,Rice,93.15,99.1,31.4,43.28,53.88,No,2
2023-07-27,Zamboanga Peninsula,Corn,34.71,174.3,33.7,36.29,59.32,Yes,3
2023-09-20,Davao Region,Garlic,38.65,50.1,28.6,38.07,58.0,Yes,1
2023-10-29,Central Luzon,Sugarcane,70.71,246.6,29.5,54.46,52.81,No,6
2023-08-16,Western Visayas,Tomato,33.67,120.1,29.2,52.98,63.47,Yes,6
2024-08-04,Northern Mindanao,Corn,48.72,253.2,34.2,55.29,48.9,Yes,1
2024-08-04,Cagayan Valley,Sugarcane,62.15,236.6,34.0,58.99,49.29,Yes,2
2024-02-06,Cagayan Valley,Rice,87.08,264.1,32.6,34.88,43.18,Yes,9
2025-03-20,CALABARZON,Sugarcane,81.48,113.3,26.5,58.42,44.97,No,8
2023-08-25,Western Visayas,Coffee,91.93,295.0,32.7,57.39,52.34,Yes,8
2024-12-21,Davao Region,Pineapple,51.3,56.0,34.5,38.08,62.23,Yes,1
2024-04-24,SOCCSKSARGEN,Sugarcane,51.97,231.6,32.5,46.25,49.94,Yes,1
2023-12-05,Cagayan Valley,Coffee,59.51,235.2,30.6,45.8,67.73,No,1
2024-02-20,Bicol Region,Pineapple,52.5,163.2,32.9,45.85,48.53,Yes,2
2023-06-15,Eastern Visayas,Garlic,54.12,67.6,30.0,43.56,51.98,Yes,7
2023-07-22,Northern Mindanao,Pineapple,73.13,152.9,27.1,56.55,66.14,No,6
2023-10-02,Central Visayas,Onion,86.49,94.8,31.9,57.36,74.13,No,9
2024-01-12,SOCCSKSARGEN,Sugarcane,32.79,297.8,27.7,52.64,59.13,Yes,3
2024-10-30,Davao Region,Mango,56.42,82.0,27.4,34.19,50.86,Yes,2
2024-11-28,Ilocos Region,Tomato,70.09,114.0,27.1,57.04,72.34,No,8
2024-11-16,Central Luzon,Mango,40.75,84.4,33.5,34.52,45.28,Yes,4
2024-06-01,Davao Region,Tomato,43.36,50.3,32.3,32.2,44.27,Yes,4
2024-02-22,Northern Mindanao,Corn,85.11,138.9,35.5,59.0,40.54,Yes,5
2024-04-16,CALABARZON,Tobacco,92.26,103.6,30.3,54.77,55.52,Yes,9
2024-01-05,Davao Region,Mango,89.59,232.6,29.7,38.22,64.73,No,1
2024-05-06,SOCCSKSARGEN,Coconut,62.44,288.9,31.4,52.45,63.89,No,2
2024-10-07,SOCCSKSARGEN,Pineapple,73.23,214.1,34.7,32.53,58.91,Yes,3
2024-06-07,Cagayan Valley,Tomato,89.95,170.1,30.6,43.18,63.75,No,2
2024-11-04,Central Luzon,Onion,42.94,202.7,27.9,59.73,58.7,Yes,6
2025-02-26,Bicol Region,Garlic,55.02,132.4,33.6,42.56,55.17,No,8
2024-08-04,Davao Region,Coffee,78.11,142.2,26.9,37.7,70.5,Yes,5
2024-07-13,Davao Region,Coconut,38.22,89.3,28.4,51.32,67.7,Yes,2
2024-02-12,Ilocos Region,Coffee,78.46,70.1,29.7,51.64,53.46,Yes,2
2025-01-05,SOCCSKSARGEN,Corn,94.05,204.3,34.8,52.04,72.14,Yes,2
2023-09-27,Northern Mindanao,Onion,71.81,184.0,32.2,42.46,49.17,Yes,7
2024-05-24,Eastern Visayas,Onion,64.28,184.1,32.3,38.21,58.58,No,6
2024-07-16,Bicol Region,Sugarcane,64.09,229.8,26.2,53.01,62.83,Yes,2
2023-11-22,Zamboanga Peninsula,Tobacco,85.28,131.5,32.0,52.82,44.62,No,6
2024-03-17,CALABARZON,Mango,70.26,270.7,33.1,47.37,45.04,No,1
2025-05-07,Davao Region,Sugarcane,87.4,97.9,32.2,58.91,54.63,Yes,9
2023-07-29,Zamboanga Peninsula,Rice,57.31,211.6,31.4,37.08,71.59,No,1
2024-08-30,Ilocos Region,Onion,65.19,218.5,36.0,48.72,55.96,No,8
2023-08-30,Zamboanga Peninsula,Corn,91.03,188.8,28.2,38.23,55.86,No,4
2024-01-05,Eastern Visayas,Tobacco,36.14,166.4,27.7,40.35,58.09,Yes,5
2025-02-26,SOCCSKSARGEN,Corn,68.31,60.1,31.0,57.49,49.49,No,3
2024-08-08,Western Visayas,Onion,96.26,155.0,26.9,33.35,60.97,No,4
2023-12-14,Central Luzon,Tomato,38.61,297.9,31.6,34.94,47.61,No,2
2024-03-06,Ilocos Region,Coffee,79.18,53.2,27.8,30.16,72.39,No,10
2023-08-20,Central Visayas,Tomato,63.91,104.9,27.9,41.69,41.05,Yes,2
2025-04-07,Northern Mindanao,Rice,61.63,154.3,32.8,34.55,68.75,No,8
2024-03-16,Davao Region,Garlic,79.16,119.0,31.4,42.93,55.09,No,1
2024-04-03,Central Luzon,Tomato,46.58,81.6,34.0,40.85,72.92,Yes,7
2024-10-05,Zamboanga Peninsula,Rice,75.22,260.2,32.7,43.29,49.47,No,2
2023-09-06,Cagayan Valley,Coffee,46.2,68.3,31.9,38.15,73.54,Yes,6
2023-06-12,CALABARZON,Onion,74.15,93.4,34.5,54.07,66.59,No,3
2024-04-27,Zamboanga Peninsula,Sugarcane,48.82,255.7,27.5,37.01,50.64,Yes,9
2024-03-18,Northern Mindanao,Corn,51.11,103.0,33.8,48.63,71.3,Yes,3
2025-02-23,Davao Region,Garlic,43.4,206.8,34.0,35.17,70.78,Yes,8
2024-04-07,SOCCSKSARGEN,Pineapple,32.9,239.2,31.7,38.22,74.4,No,9
2024-07-04,Bicol Region,Coconut,54.13,285.0,27.2,47.34,66.87,Yes,7
2024-03-14,Central Visayas,Mango,55.24,99.6,26.9,39.01,58.76,No,7
2023-09-13,Central Visayas,Banana,94.38,298.9,33.8,55.67,54.57,No,2
2024-10-16,Eastern Visayas,Sugarcane,39.28,238.5,35.7,32.44,56.35,No,8
2025-01-07,Eastern Visayas,Pineapple,71.41,122.8,28.0,31.2,47.96,Yes,2
2024-05-01,Ilocos Region,Tobacco,97.07,132.0,35.3,59.51,43.1,No,3
2025-05-04,Central Luzon,Tomato,38.84,135.6,30.7,52.86,47.34,No,4
2024-02-20,Eastern Visayas,Pineapple,44.63,252.4,34.0,54.44,72.33,No,9
2024-07-04,Bicol Region,Garlic,61.82,248.5,28.3,33.34,73.19,No,1
2024-12-17,Central Luzon,Corn,63.7,240.8,27.3,58.35,57.19,Yes,4
2024-11-28,Davao Region,Rice,92.45,273.6,33.5,31.19,40.89,Yes,8
2023-05-14,Davao Region,Rice,89.28,58.2,35.3,56.57,58.84,No,3
2024-01-14,Cagayan Valley,Rice,99.43,275.3,32.8,56.26,47.22,No,7
2024-08-14,Cagayan Valley,Sugarcane,69.65,142.2,31.5,34.82,40.84,No,7
2023-09-23,Eastern Visayas,Tomato,74.75,76.6,27.6,51.79,50.68,Yes,6
2024-04-23,Cagayan Valley,Corn,30.29,223.3,35.0,43.89,42.66,No,5
2023-10-27,Central Luzon,Coconut,70.72,134.0,29.4,53.39,49.25,Yes,4
2023-07-01,Eastern Visayas,Sugarcane,42.55,102.3,29.3,42.57,58.87,Yes,4
2024-08-24,Davao Region,Tobacco,69.94,144.2,27.8,47.1,56.53,No,10
2024-11-27,Central Visayas,Tomato,80.96,213.3,27.5,38.63,68.24,No,8
2025-02-25,Cagayan Valley,Rice,48.84,133.6,33.0,38.89,45.97,No,7
2023-07-14,Central Luzon,Tobacco,62.97,200.1,28.5,55.98,41.46,Yes,10
2023-11-16,Western Visayas,Garlic,78.78,56.5,26.2,44.52,69.03,No,7
2025-03-16,CALABARZON,Coffee,96.15,216.6,35.2,55.62,42.91,No,1
2023-11-07,Northern Mindanao,Onion,84.84,290.2,34.8,49.44,74.5,No,1
2023-09-10,CALABARZON,Garlic,82.61,284.8,35.4,40.83,50.4,No,8
2023-08-13,CALABARZON,Pineapple,95.23,252.9,35.0,50.27,54.72,No,1
2023-10-01,Cagayan Valley,Coffee,46.08,248.5,28.8,34.78,59.02,Yes,2
2024-03-22,Northern Mindanao,Tomato,82.95,286.8,32.4,48.08,40.99,No,1
2023-08-29,Western Visayas,Coffee,46.86,74.2,31.1,45.44,55.83,Yes,8
2024-08-17,Davao Region,Sugarcane,57.8,243.5,33.8,35.57,63.6,Yes,9
2024-07-17,Ilocos Region,Coconut,98.96,139.1,33.6,58.0,45.06,No,3
2025-03-30,Zamboanga Peninsula,Coffee,80.8,165.7,30.5,55.16,64.65,No,5
2023-07-23,Zamboanga Peninsula,Banana,52.73,259.0,27.6,50.46,42.61,Yes,9
2025-03-16,Ilocos Region,Coffee,54.81,240.4,28.8,48.43,72.84,No,6
2023-06-04,Central Luzon,Tobacco,36.89,291.3,31.9,37.07,48.81,No,3
2024-05-22,CALABARZON,Garlic,95.95,281.7,28.7,46.71,43.05,No,3
2024-07-06,Eastern Visayas,Garlic,86.42,157.1,30.6,34.64,68.12,Yes,2
2024-01-28,SOCCSKSARGEN,Tobacco,35.85,250.8,31.0,42.91,45.23,Yes,9
2025-03-15,Cagayan Valley,Pineapple,85.55,189.2,26.7,50.65,44.63,Yes,10
2024-06-30,Northern Mindanao,Onion,64.06,285.3,26.1,31.71,51.07,Yes,2
2024-04-05,SOCCSKSARGEN,Garlic,60.37,259.3,26.9,48.22,72.55,No,6
2024-05-09,Ilocos Region,Tomato,91.2,267.5,29.3,39.12,74.41,Yes,7
2023-08-09,Ilocos Region,Coffee,32.91,182.9,35.2,38.65,43.81,No,3
2024-09-09,Central Visayas,Onion,39.11,223.9,29.6,53.15,63.52,No,3
2024-10-24,Central Luzon,Rice,51.22,85.6,35.7,43.59,71.48,No,1
2024-08-26,Ilocos Region,Tomato,75.33,217.0,30.9,57.61,72.92,Yes,10
2024-07-14,Northern Mindanao,Onion,61.51,243.9,26.9,45.59,45.02,Yes,4
2024-08-24,CALABARZON,Onion,42.45,255.7,28.7,45.34,47.71,No,9
2023-07-19,Central Luzon,Tobacco,59.87,176.0,28.7,55.08,62.07,Yes,7
2023-11-13,Eastern Visayas,Banana,98.31,242.4,27.1,30.78,49.17,Yes,4
2024-09-30,Central Visayas,Tobacco,39.51,195.1,27.8,57.89,49.69,Yes,1
2024-05-19,Northern Mindanao,Coffee,68.58,171.6,26.0,41.74,53.34,No,5
2023-10-14,Bicol Region,Mango,66.71,89.2,29.1,54.45,45.86,No,6
2023-08-04,Ilocos Region,Rice,42.89,85.5,29.7,39.55,68.8,No,3
2023-10-13,Ilocos Region,Corn,47.66,147.9,26.4,54.52,46.52,No,1
2024-08-05,Central Luzon,Mango,33.66,158.5,35.9,40.61,44.65,No,10
2025-01-13,Central Visayas,Sugarcane,30.22,82.2,30.7,48.5,66.14,Yes,4
2025-04-28,Northern Mindanao,Corn,85.06,88.3,30.1,36.1,53.21,Yes,7
2024-09-19,Bicol Region,Tomato,73.05,197.6,27.1,40.17,72.33,No,5
2024-09-16,Central Luzon,Onion,97.07,297.7,30.0,40.66,59.45,No,5
2024-04-03,Ilocos Region,Tomato,65.88,138.2,33.3,34.84,70.47,Yes,4
2024-08-27,Central Luzon,Garlic,44.59,107.0,28.3,45.12,72.5,Yes,2
2025-04-09,SOCCSKSARGEN,Rice,55.8,296.0,28.1,57.82,56.89,No,3
2024-12-24,Central Visayas,Garlic,79.11,50.4,26.3,50.09,44.44,No,7
2024-04-15,Central Luzon,Coconut,69.14,286.0,29.9,41.13,46.39,Yes,10
2025-03-18,CALABARZON,Tomato,98.41,153.5,27.3,52.92,47.81,No,4
2024-06-07,Western Visayas,Onion,48.84,196.9,28.8,49.3,55.92,No,9
2024-10-29,Zamboanga Peninsula,Sugarcane,86.91,117.0,35.7,34.82,67.14,Yes,6
2025-03-30,Bicol Region,Tobacco,32.75,153.0,30.4,44.26,59.11,No,5
2025-04-07,Ilocos Region,Coffee,46.07,226.2,30.6,43.3,51.92,Yes,10
2023-08-11,Central Visayas,Rice,59.97,244.9,35.3,33.76,70.08,No,1
2023-09-19,Bicol Region,Tomato,79.2,252.3,32.9,34.22,50.72,Yes,4
2023-08-07,Eastern Visayas,Mango,50.35,153.6,28.2,40.53,64.89,No,10
2023-09-24,Northern Mindanao,Banana,83.6,192.0,27.2,43.29,61.26,Yes,6
2024-08-14,Central Visayas,Mango,45.45,137.2,29.6,48.84,55.3,Yes,3
2024-05-24,Northern Mindanao,Tobacco,85.02,122.5,26.2,47.95,51.34,No,10
2023-10-28,Central Visayas,Pineapple,57.17,124.9,30.9,52.96,49.15,No,9
2024-06-16,SOCCSKSARGEN,Onion,55.54,228.3,27.9,50.14,72.37,Yes,8
2024-12-05,Central Luzon,Tomato,93.25,129.2,30.1,31.35,44.38,Yes,8
2024-07-30,Western Visayas,Onion,54.83,152.4,34.5,50.47,48.89,No,3
2025-04-10,Eastern Visayas,Tobacco,61.64,60.2,26.1,49.67,68.95,Yes,2
2025-04-18,Central Visayas,Onion,45.36,142.4,31.1,45.75,41.5,No,9
2024-08-18,Central Visayas,Tobacco,37.5,202.3,34.5,44.53,61.68,Yes,7
2024-01-30,SOCCSKSARGEN,Tomato,70.62,231.0,26.9,33.3,59.7,Yes,6
2024-12-21,Cagayan Valley,Onion,96.07,50.5,32.0,47.69,71.83,Yes,6
2024-05-23,Bicol Region,Onion,58.41,131.9,33.0,54.75,42.5,No,1
2025-02-14,CALABARZON,Corn,73.88,211.0,30.1,34.67,58.0,Yes,6
2024-03-21,Central Visayas,Rice,55.09,297.3,26.8,42.19,70.66,Yes,2
2024-01-24,Central Luzon,Tobacco,66.11,78.6,29.6,30.22,40.56,No,8
2024-07-28,Davao Region,Garlic,92.98,163.2,34.1,38.6,65.49,Yes,6
2024-06-15,Cagayan Valley,Garlic,94.16,122.5,27.4,56.76,63.93,Yes,6
2025-04-23,Central Visayas,Onion,42.45,274.0,29.3,55.68,41.01,No,6
2024-12-27,Northern Mindanao,Pineapple,80.74,139.3,31.2,49.31,70.56,No,7
2025-02-05,Central Luzon,Coffee,51.64,296.9,31.6,47.05,52.72,No,7
2024-09-07,Northern Mindanao,Garlic,46.5,240.3,28.9,53.0,63.39,Yes,9
2024-11-21,Central Luzon,Onion,85.54,65.4,31.5,42.3,74.08,No,7
2025-01-19,CALABARZON,Sugarcane,90.19,157.5,26.3,48.87,46.68,No,6
2024-06-18,Eastern Visayas,Corn,58.4,230.6,30.7,48.74,57.52,No,6
2025-01-03,Davao Region,Coconut,69.13,156.2,33.2,36.22,70.47,No,1
2024-09-25,Western Visayas,Tomato,70.87,216.7,26.3,48.64,42.17,No,1
2023-12-21,Bicol Region,Pineapple,35.17,85.0,34.4,47.71,56.08,Yes,3
2025-02-12,Cagayan Valley,Tomato,44.11,250.4,34.2,48.97,61.59,No,7
2024-02-03,Bicol Region,Coconut,66.84,175.1,30.1,36.7,66.7,No,5
2023-12-26,Western Visayas,Tomato,85.13,147.9,26.1,42.33,55.68,Yes,1
2024-03-07,CALABARZON,Sugarcane,91.56,183.7,27.6,59.69,42.63,Yes,3
2024-03-08,Davao Region,Banana,35.4,114.0,27.9,41.87,63.53,Yes,8
2024-11-08,Davao Region,Tomato,79.45,236.1,33.6,34.65,56.91,Yes,6
2024-10-28,Ilocos Region,Rice,75.93,197.4,28.8,52.65,59.5,Yes,8
2024-12-02,Eastern Visayas,Onion,99.75,250.4,30.0,36.81,65.34,Yes,5
